timestamp,cpu_percent,memory_percent,disk_percent,net_sent,net_recv
2025-12-08T13:57:51.009290,55.8,84.9,72.2,146.09310054779053,1067.1007747650146
2025-12-08T14:01:29.478860,47.9,74.3,72.2,147.6233205795288,1126.4620151519775
2025-12-08T14:02:50.950318,25.7,81.0,72.2,148.09918022155762,1126.7695627212524
2025-12-08T14:06:29.527973,97.3,87.1,72.2,150.38492107391357,1142.0231046676636
2025-12-08T14:07:51.060372,43.6,88.8,72.2,153.9851417541504,1143.7040977478027
2025-12-08T14:11:29.489535,79.8,89.3,72.2,156.05023765563965,1145.0613737106323
2025-12-08T14:12:50.942022,32.2,90.0,72.2,157.06897258758545,1145.3960428237915
2025-12-08T14:16:29.587462,49.6,92.6,72.2,159.9401092529297,1146.979579925537
2025-12-08T14:17:51.054075,44.7,90.3,72.2,160.86882877349854,1147.2400913238525
2025-12-08T14:21:29.582714,49.6,90.5,72.2,162.87591171264648,1148.308759689331
2025-12-08T14:22:51.039286,47.9,90.8,72.2,164.01296710968018,1148.6045598983765
2025-12-08T14:26:29.548645,40.6,89.8,72.2,167.0923318862915,1152.4042415618896
2025-12-08T14:27:51.047296,42.1,91.6,72.3,167.9958438873291,1152.7515449523926
2025-12-08T14:31:29.601864,27.7,93.6,72.3,173.46449375152588,1153.5907526016235
2025-12-08T14:32:51.028626,94.5,91.7,72.3,174.22424125671387,1153.939082145691
2025-12-08T14:36:29.605962,42.0,91.3,72.1,177.4620189666748,1158.8204231262207
2025-12-08T14:37:51.069295,22.6,93.5,72.1,179.54172611236572,1164.6037511825562
2025-12-08T14:41:29.577764,44.7,92.1,72.1,181.03456211090088,1172.6564435958862
2025-12-08T14:42:50.928807,22.4,93.2,72.1,181.36859035491943,1173.6867599487305
2025-12-08T14:46:29.878114,100.0,91.6,72.1,182.55840587615967,1195.145112991333
2025-12-08T14:47:51.042414,22.1,91.6,72.1,183.097393989563,1198.6666193008423
2025-12-08T14:51:30.533030,44.6,91.6,72.1,184.29341220855713,1201.0628185272217
2025-12-08T14:52:51.182891,27.2,88.7,72.2,184.6963062286377,1207.5089082717896
2025-12-08T14:56:29.679668,24.6,91.6,72.1,185.6558322906494,1227.1427688598633
2025-12-08T14:57:50.948269,47.2,93.1,72.1,186.1836633682251,1231.9697847366333
2025-12-08T15:01:29.640650,38.8,93.6,72.2,189.92978763580322,1238.5995359420776
2025-12-08T15:02:51.101396,47.5,94.4,72.2,190.71881294250488,1238.970425605774
2025-12-08T15:06:29.571767,39.5,91.2,72.2,196.13994216918945,1242.8470401763916
2025-12-08T15:07:50.955188,30.9,88.9,72.2,199.91398811340332,1243.5585870742798
2025-12-08T15:11:29.545892,38.7,92.2,72.2,201.3175859451294,1251.6781539916992
2025-12-08T15:12:51.041505,37.7,92.3,72.2,201.85675621032715,1259.1093006134033
2025-12-08T15:16:29.706287,48.1,92.2,72.2,204.07152557373047,1269.9051485061646
2025-12-08T15:17:51.001603,88.9,94.6,72.2,204.6457748413086,1272.6632461547852
2025-12-08T15:21:29.661895,68.7,93.1,72.2,205.96885299682617,1278.9160594940186
2025-12-08T15:22:50.954396,27.7,92.8,72.2,206.32247638702393,1279.2027730941772
2025-12-08T15:26:29.432293,20.2,83.3,72.2,206.97496128082275,1279.6511850357056
2025-12-08T15:27:50.956968,45.0,86.5,72.2,207.33594608306885,1280.863748550415
2025-12-08T15:31:29.464469,28.3,86.6,72.2,210.13827419281006,1356.1275234222412
2025-12-08T15:32:50.926515,23.0,87.4,72.2,210.64062976837158,1356.6083631515503
2025-12-08T15:36:29.730587,28.3,91.8,72.2,213.00162410736084,1357.9442806243896
2025-12-08T15:37:51.092360,51.4,93.3,72.2,213.5940637588501,1358.7857780456543
2025-12-08T15:41:29.526093,90.4,91.8,72.3,216.16838932037354,1381.6507558822632
2025-12-08T15:42:51.014902,38.5,94.7,72.3,216.89809608459473,1382.2827577590942
2025-12-08T15:46:30.214007,50.0,95.6,72.3,217.8140344619751,1383.160891532898
2025-12-08T15:47:50.855250,21.9,89.8,72.3,218.37619876861572,1383.3486156463623
2025-12-08T15:51:29.838824,46.4,88.1,72.3,219.3468141555786,1384.214584350586
2025-12-08T15:52:50.955477,27.9,92.4,72.3,219.91053295135498,1384.7548732757568
2025-12-08T15:56:29.522078,69.1,96.2,72.2,223.03216552734375,1447.0605335235596
2025-12-08T15:57:50.999371,52.9,91.6,72.2,223.78647708892822,1447.7651090621948
2025-12-08T16:01:32.933700,46.5,66.0,72.1,226.4725227355957,1455.3865280151367
2025-12-08T16:02:51.214263,93.6,93.9,72.2,234.27874755859375,1488.8572263717651
2025-12-08T16:06:29.491289,62.9,87.8,72.1,235.49946212768555,1490.5925436019897
2025-12-08T16:07:50.986137,49.8,92.5,72.1,236.08282566070557,1491.5618028640747
2025-12-08T16:11:29.465472,53.7,87.7,72.1,240.64535427093506,1495.6584920883179
2025-12-08T16:12:50.932055,35.8,87.8,72.2,243.20026969909668,1495.9801712036133
2025-12-08T16:16:29.450773,34.4,87.9,72.2,245.43537425994873,1498.001669883728
2025-12-08T16:17:50.964886,29.5,90.3,72.2,249.74271774291992,1498.6911849975586
2025-12-08T16:21:29.903468,62.2,89.7,72.2,250.7926425933838,1499.6436080932617
2025-12-08T16:22:51.096244,36.8,89.1,72.3,251.64240169525146,1504.2383880615234
2025-12-08T16:26:29.580651,35.8,90.0,72.3,253.63780784606934,1512.0240955352783
2025-12-08T16:27:50.983421,41.3,91.0,72.3,254.11245155334473,1516.120924949646
2025-12-08T16:31:29.662309,49.2,93.0,72.3,255.357159614563,1517.582356452942
2025-12-08T16:32:50.938943,26.2,92.6,72.3,255.98656558990479,1517.945384979248
2025-12-08T16:36:29.536004,23.0,87.9,72.0,257.22413635253906,1520.655598640442
2025-12-08T16:37:50.923911,20.1,87.5,72.0,257.5878629684448,1520.9507675170898
2025-12-08T16:41:29.529543,26.8,88.4,72.0,258.2687349319458,1530.4577465057373
2025-12-08T16:42:51.008882,25.4,88.2,72.0,258.49219131469727,1530.6178760528564
2025-12-08T16:46:29.789878,57.6,91.9,72.1,260.0271987915039,1552.5380945205688
2025-12-08T16:47:50.914709,32.8,88.5,72.1,260.81849670410156,1563.0957517623901
2025-12-08T16:51:29.523503,44.4,90.8,72.1,261.9220209121704,1564.1638412475586
2025-12-08T16:52:50.959049,19.1,87.1,72.1,262.12359619140625,1564.3533143997192
2025-12-08T16:56:31.797007,48.1,88.6,72.1,262.90802574157715,1572.7210092544556
2025-12-08T16:57:52.788172,38.7,86.0,72.2,263.1643867492676,1573.0100326538086
2025-12-08T17:01:29.978613,64.9,85.8,72.2,263.63226985931396,1573.5096368789673
2025-12-08T17:02:57.121125,23.4,84.3,72.3,264.1620264053345,1574.0215253829956
2025-12-08T18:59:12.825775,100.0,97.1,72.2,265.8738794326782,1584.5891046524048
2025-12-08T19:01:29.724049,22.5,88.0,72.2,267.00716400146484,1592.326823234558
2025-12-08T19:02:51.037264,64.0,87.3,72.2,267.36701011657715,1594.2971935272217
2025-12-08T19:06:29.555247,23.3,87.7,72.2,270.6048364639282,1608.436806678772
2025-12-08T19:07:50.942456,17.6,88.0,72.2,271.60060024261475,1610.7800750732422
2025-12-08T19:11:29.581792,99.6,87.3,72.2,274.71667766571045,1631.9256763458252
2025-12-08T19:12:50.928417,18.2,85.1,72.2,277.6071310043335,1633.9705181121826
2025-12-08T19:16:29.631768,57.3,87.1,72.2,280.5170421600342,1640.705457687378
2025-12-08T19:17:50.953210,16.1,88.2,72.2,282.1022529602051,1641.2296886444092
2025-12-08T19:21:29.465298,71.0,88.9,72.2,284.85807704925537,1642.3644399642944
2025-12-08T19:22:51.046269,31.1,93.0,72.2,285.8267984390259,1643.3944034576416
2025-12-08T19:26:29.539647,23.7,91.4,72.2,286.6328945159912,1644.2578811645508
